author,birthyr,date,docid,firstpub,gender,imprint,numwords,originalid,selectedby,source,title
"Thackeray, William Makepeace",,1889,ThacWV,1848,m,,368677,uc1.b3548709|uc1.b3548710,library1883,hathi,Vanity Fair
"Stowe, Harriet Beecher",1811,1852,StowHUT,1852,f,,176802,StowHUT.txt,library1883,gutenberg,Uncle Tom's Cabin
"Farren, Mrs",,1856,FarrBC,1856,f,,159146,nyp.33433074832225,random,hathirandom,Boston Common
"Dickens, Charles",,,greatexpectations,1861,m,,184385,greatexpectations.txt,library1883,gutenberg,Great Expectations
"Eyre, Mary.",,1861,EyreMFH,1861,f,,213984,uiuo.ark:/13960/t43r17f7w|uiuo.ark:/13960/t2d79ps6c|uiuo.ark:/13960/t3dz0mk8x,random,hathirandom,A family history
"Wood, Ellen",1814,1861,WoodEEL,1861,f,,206645,WoodEEL.txt,sensation,gutenberg,East Lynne
"Trollope, Anthony,",,1876,TrolAM,1865,m,,146742,mdp.39015065597299,random,hathirandom,Miss Mackenzie
"Collins, Wilkie",1824,1868,CollWTM,1868,m,,194827,CollWTM.txt,sensation,gutenberg,The Moonstone
"Eliot, George",,1899,ElioGM,1871,f,,339394,uiuo.ark:/13960/t2v41692b|uiuo.ark:/13960/t5x63zp1s|uiuo.ark:/13960/t09w0x65t,library1883,hathi,Middlemarch
"Twain, Mark",1835,1876,TwaiMTS,1876,m,,69818,TwaiMTS.txt,other,gutenberg,The Adventures of Tom Sawyer
"Wood, Ellen",,1881,WoodECN,1881,f,,183466,dul1.ark:/13960/t53f5bx92|dul1.ark:/13960/t0gt66c22|dul1.ark:/13960/t7hq4jb64,random,hathirandom,Court Netherleigh
"James, Henry",1842,1881,JameHPL,1881,m,,223819,JameHPL.txt,canon,gutenberg,Portrait of a Lady
"Schreiner, Olive",,1890,SchrOS,1883,f,,111232,nyp.33433075742530,canon,hathi,Story of an African Farm
"Haggard, H Rider",,,haggardshe,1887,m,,116962,haggardshe.txt,popular,gutenberg,She
"Hardy, Thomas",,1892,HardTT,1891,m,,157174,uc1.b3578727,library1883,hathi,Tess of the D'Urbervilles
"Harland, Henry,",1861,1891,HarlHM,1891,m,,110928,uc2.ark:/13960/t6n010d03|uc2.ark:/13960/t4vh5cx68|uc2.ark:/13960/t78s4kb62,random,hathirandom,Mea culpa
"Wells, H. G. ",,1895,WellHT,1895,m,,34867,dul1.ark:/13960/t98637h6g,goodreads,hathi,The Time Machine
"Wister, Owen",,1902,thevirginian,1902,m,,138085,thevirginian.txt,other,gutenberg,The Virginian
"Streeter, John Williams",1841,1904,StreJT,1904,m,New York/London: Macmillan Co.,97503,00002556.txt,random,chicagorandom,The fat of the land
"Tarkington, Booth",1869,1905,TarkBBL,1905,m,New York: McClure,16537,00002692.txt,pubweek,chicago,The beautiful lady
"Burroughs, Edgar Rice",,,godsofmars,1913,m,,82601,godsofmars.txt,other,gutenberg,The Gods of Mars
"Biggers, Earl Derr",1884,1913,BiggES,1913,m,New York: Grosset & Dunlap,75555,00003577.txt,random,chicagorandom,Seven keys to Baldpate
"Joyce, James",1882,1916,JoycJA,1916,m,New York: B.W. Huebsch,84837,00004880.txt,modernlib,chicago,A Portrait of the Artist as a Young Man
"Wharton, Edith",,,ageofinnocence,1920,f,,101252,ageofinnocence.txt,modernlib,gutenberg,The Age of Innocence
"Van Vorst, Marie",1867,1920,Van MF,1920,f,"Boston: ""Small, Maynard & Co.""",113162,00004500.txt,random,chicagorandom,Fairfax and his pride
"Ferber, Edna",1885,1924,FerbES,1924,f,"Garden City/New York: ""Doubleday, Page & Co.""",91714,00010221.txt,pubweek,chicago,So Big
"Woolf, Virginia",1882,1925,WoolVM,1925,f,"New York: Harcourt, Brace & Co.",63488,00011024.txt,Time2005,chicago,Mrs Dalloway
"Fitzgerald, F. Scott",1896,1925,FitzFT,1925,m,New York: Charles Scribner's Sons,48273,00010241.txt,modernlib,chicago,The Great Gatsby
"Christie, Agatha",1890,1926,ChriAMR,1926,f,"New York: Dodd, Mead",70922,00011163.txt,random,chicago,The murder of Roger Ackroyd
"Huxley, Aldous",1894,1932,HuxlAB,1932,m,Garden City/N.Y.: George H. Doran Co.,64699,00011043.txt,modernlib,chicago,Brave New World
